cluster,AUPRC,site
1,0.4257525998905309,79
0,0.2756192881192881,79
2,-0.0,79
0,0.5271400830823582,122
1,0.5630482456140351,122
0,0.6899932780205733,142
1,0.0588235294117647,142
2,0.6580533128299877,148
1,0.1666666666666666,148
0,-0.0,148
2,0.6359657960680979,154
0,0.1428571428571428,154
1,-0.0,154
2,0.5165285729801858,157
1,-0.0,157
0,0.6565175565175565,157
2,0.6796527804367526,165
1,0.125,165
0,1.0,165
1,0.5515873015873016,167
2,0.3841725432863204,167
0,0.6845238095238095,167
0,0.7,176
2,0.4796534041214892,176
1,0.2867424242424242,176
1,0.5934366187560502,199
0,0.8303571428571428,199
1,0.2598715294367468,227
0,0.700952380952381,227
2,-0.0,227
2,-0.0,248
1,0.2934782608695652,248
0,0.5354166666666667,248
1,0.3114745011086475,252
0,0.5321428571428571,252
2,0.5,252
1,0.5938074599422117,264
0,0.5399877899877901,264
2,0.3333333333333333,264
1,0.6818561761172598,281
0,0.4340909090909091,281
2,-0.0,281
2,-0.0,283
1,0.5768686822555109,283
0,0.3341558441558441,283
1,0.4635046331910443,338
0,0.7048611111111112,338
0,0.4639149776362419,420
1,0.5,420
2,-0.0,420
1,0.4478631908631908,449
0,0.7678571428571428,449
2,-0.0,449
1,0.6661233288083217,458
0,0.7979769685652038,458
