cluster,AUPRC,site
1,0.6944444444444444,79
0,0.4162975912975912,79
1,0.5514423076923077,122
0,0.2110670194003527,122
0,0.1389140534262485,142
1,0.7626239669421488,142
1,0.6666666666666666,148
2,0.6596063250475015,148
0,0.3333333333333333,148
2,0.4273471164850475,154
1,0.1464646464646464,154
0,-0.0,154
1,0.1745661745661745,157
2,0.5139543387898651,157
0,-0.0,157
2,0.624632810439262,165
0,-0.0,165
1,0.875,165
2,0.4994392819496582,167
0,1.0,167
1,0.7325396825396825,167
2,0.7859795694928935,176
1,0.5851948051948053,176
0,-0.0,176
0,0.8047431223747012,199
1,0.5597979797979797,199
0,0.5782852812888699,227
1,0.8120490620490619,227
0,0.4304919890470306,248
1,0.8055555555555556,248
1,0.4676147382029735,252
0,0.5647978383272501,252
1,0.6774426130937021,264
0,0.202061182254655,264
0,0.7263415404040404,281
1,0.3212121212121211,281
1,0.3666666666666666,283
0,0.6217889317889317,283
0,0.4274422687735381,338
1,0.6679505135387488,338
0,0.5476190476190477,420
1,0.4550865800865801,420
0,0.5225613103829115,449
1,0.25,449
0,0.2662112193362193,458
1,0.4970588235294117,458
